
# Curve 0 of 1, 100 points
# Curve title: "q(x)"
# x y type
 6.91132e-310  6.91133e-310  u
 2.52525  0.00270038  i
 5.05051  0.000146254  i
 7.57576  2.45086e-05  i
 10.101  6.39612e-06  i
 12.6263  2.07578e-06  i
 15.1515  7.45065e-07  i
 17.6768  2.67648e-07  i
 20.202  8.03018e-08  i
 22.7273  3.80909e-09  i
 25.2525 -2.68636e-08  i
 27.7778 -3.76639e-08  i
 30.303 -3.96831e-08  i
 32.8283 -3.7897e-08  i
 35.3535 -3.46051e-08  i
 37.8788 -3.08806e-08  i
 40.404 -2.72157e-08  i
 42.9293 -2.38218e-08  i
 45.4545 -2.0774e-08  i
 47.9798 -1.80818e-08  i
 50.5051 -1.57252e-08  i
 53.0303 -1.36719e-08  i
 55.5556 -1.18866e-08  i
 58.0808 -1.03353e-08  i
 60.6061 -8.98647e-09  i
 63.1313 -7.81253e-09  i
 65.6566 -6.78929e-09  i
 68.1818 -5.89596e-09  i
 70.7071 -5.11473e-09  i
 73.2323 -4.43041e-09  i
 75.7576 -3.83006e-09  i
 78.2828 -3.30264e-09  i
 80.8081 -2.83879e-09  i
 83.3333 -2.43048e-09  i
 85.8586 -2.0709e-09  i
 88.3838 -1.75421e-09  i
 90.9091 -1.47543e-09  i
 93.4343 -1.23031e-09  i
 95.9596 -1.01519e-09  i
 98.4848 -8.26972e-10  i
 101.01 -6.62992e-10  i
 103.535 -5.20991e-10  i
 106.061 -3.9905e-10  i
 108.586 -2.95557e-10  i
 111.111 -2.09164e-10  i
 113.636 -1.38764e-10  i
 116.162 -8.34679e-11  i
 118.687 -4.25835e-11  i
 121.212 -1.56038e-11  i
 123.737 -2.19635e-12  i
 126.263 -2.19635e-12  i
 128.788 -1.56038e-11  i
 131.313 -4.25835e-11  i
 133.838 -8.34679e-11  i
 136.364 -1.38764e-10  i
 138.889 -2.09164e-10  i
 141.414 -2.95557e-10  i
 143.939 -3.9905e-10  i
 146.465 -5.20991e-10  i
 148.99 -6.62992e-10  i
 151.515 -8.26972e-10  i
 154.04 -1.01519e-09  i
 156.566 -1.23031e-09  i
 159.091 -1.47543e-09  i
 161.616 -1.75421e-09  i
 164.141 -2.0709e-09  i
 166.667 -2.43048e-09  i
 169.192 -2.83879e-09  i
 171.717 -3.30264e-09  i
 174.242 -3.83006e-09  i
 176.768 -4.43041e-09  i
 179.293 -5.11473e-09  i
 181.818 -5.89596e-09  i
 184.343 -6.78929e-09  i
 186.869 -7.81253e-09  i
 189.394 -8.98647e-09  i
 191.919 -1.03353e-08  i
 194.444 -1.18866e-08  i
 196.97 -1.36719e-08  i
 199.495 -1.57252e-08  i
 202.02 -1.80818e-08  i
 204.545 -2.0774e-08  i
 207.071 -2.38218e-08  i
 209.596 -2.72157e-08  i
 212.121 -3.08806e-08  i
 214.646 -3.46051e-08  i
 217.172 -3.7897e-08  i
 219.697 -3.96831e-08  i
 222.222 -3.76639e-08  i
 224.747 -2.68636e-08  i
 227.273  3.80909e-09  i
 229.798  8.03018e-08  i
 232.323  2.67648e-07  i
 234.848  7.45065e-07  i
 237.374  2.07578e-06  i
 239.899  6.39612e-06  i
 242.424  2.45086e-05  i
 244.949  0.000146254  i
 247.475  0.00270038  i
 250  0  i

